id,title,link,district,type,name,value,function,location
9030005002,Prenzlauer Allee 57,https://www.infravelo.de/projekt/prenzlauer-allee-57/,Pankow,Anlehnbügel,Anzahl Stellplätze,14,parking,POINT (52.5396165 13.4248638)
9030082038,Prenzlauer Promenade 181,https://www.infravelo.de/projekt/prenzlauer-promenade-181/,Pankow,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.5539244 13.4294905)
9030082026,Prenzlauer Promenade 182,https://www.infravelo.de/projekt/prenzlauer-promenade-182/,Pankow,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.5537532 13.4295359)
9030082025,Prenzlauer Promenade 186,https://www.infravelo.de/projekt/prenzlauer-promenade-186/,Pankow,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.5531212 13.4296984)
9040079004,Preußenallee  25,https://www.infravelo.de/projekt/preussenallee-25/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.5131569 13.2591357)
9010102081,Prinzenallee 2,https://www.infravelo.de/projekt/prinzenallee-2/,Mitte,Anlehnbügel,Anzahl Stellplätze,10,parking,POINT (52.5523049 13.3820325)
9010102078,Prinzenallee 76,https://www.infravelo.de/projekt/prinzenallee-76-2/,Mitte,Anlehnbügel,Anzahl Stellplätze,12,parking,POINT (52.5549146 13.3832974)
9010102079,Prinzenallee 76,https://www.infravelo.de/projekt/prinzenallee-76-1/,Mitte,Lastenfahrradbügel,Anzahl Stellplätze,4,parking,POINT (52.5549146 13.3832974)
9010102080,Prinzenallee 76,https://www.infravelo.de/projekt/prinzenallee-76/,Mitte,Anlehnbügel,Anzahl Stellplätze,12,parking,POINT (52.5549146 13.3832974)
9020086124,Prinzenstraße 113,https://www.infravelo.de/projekt/prinzenstrasse-113/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,32,parking,POINT (52.4977579 13.4031859)
9020086059,Proskauer Straße 1,https://www.infravelo.de/projekt/proskauer-strasse-1/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,12,parking,POINT (52.5153776 13.4606077)
