id,title,link,district,type,name,value,function
9080031135,Kanner Straße 5,https://www.infravelo.de/projekt/kanner-strasse-5/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9090072006,Karl-Kunger Straße 54,https://www.infravelo.de/projekt/karl-kunger-strasse-54/,Treptow-Köpenick,Anlehnbügel,Anzahl Stellplätze,14,parking
9090072005,Karl-Kunger-Straße 19/20,https://www.infravelo.de/projekt/karl-kunger-strasse-19-20/,Treptow-Köpenick,Anlehnbügel,Anzahl Stellplätze,28,parking
9090072004,Karl-Kunger-Straße 21,https://www.infravelo.de/projekt/karl-kunger-strasse-21/,Treptow-Köpenick,Anlehnbügel,Anzahl Stellplätze,14,parking
9110090016,Karl-Lade-Str. 32,https://www.infravelo.de/projekt/karl-lade-str-32/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,6,parking
9020086049,Karl-Marx-Allee 90,https://www.infravelo.de/projekt/karl-marx-allee-90/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,14,parking
9080049004,Karl-Marx-Platz 24,https://www.infravelo.de/projekt/karl-marx-platz-24/,Neukölln,Anlehnbügel,Anzahl Stellplätze,10,parking
9080031409,Karl-Marx-Straße 117,https://www.infravelo.de/projekt/karl-marx-strasse-117/,Neukölln,Anlehnbügel,Anzahl Stellplätze,12,parking
9080031410,Karl-Marx-Straße 118,https://www.infravelo.de/projekt/karl-marx-strasse-118/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031411,Karl-Marx-Straße 118,https://www.infravelo.de/projekt/karl-marx-strasse-118-1/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080031412,Karl-Marx-Straße 124,https://www.infravelo.de/projekt/karl-marx-strasse-124/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031413,Karl-Marx-Straße 129,https://www.infravelo.de/projekt/karl-marx-strasse-129/,Neukölln,Anlehnbügel,Anzahl Stellplätze,10,parking
9080031414,Karl-Marx-Straße 130,https://www.infravelo.de/projekt/karl-marx-strasse-130/,Neukölln,Anlehnbügel,Anzahl Stellplätze,20,parking
9080031415,Karl-Marx-Straße 131,https://www.infravelo.de/projekt/karl-marx-strasse-131/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031416,Karl-Marx-Straße 133,https://www.infravelo.de/projekt/karl-marx-strasse-133/,Neukölln,Anlehnbügel,Anzahl Stellplätze,12,parking
9080031417,Karl-Marx-Straße 139,https://www.infravelo.de/projekt/karl-marx-strasse-139/,Neukölln,Anlehnbügel,Anzahl Stellplätze,8,parking
9080031418,Karl-Marx-Straße 140,https://www.infravelo.de/projekt/karl-marx-strasse-140/,Neukölln,Anlehnbügel,Anzahl Stellplätze,16,parking
9080031419,Karl-Marx-Straße 141,https://www.infravelo.de/projekt/karl-marx-strasse-141/,Neukölln,Anlehnbügel,Anzahl Stellplätze,8,parking
9080031420,Karl-Marx-Straße 144,https://www.infravelo.de/projekt/karl-marx-strasse-144/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
