highway,lanes,lit,maxspeed,streetname,oneway,ref,smoothness,geometry
primary,3.0,no,70.0,,yes,L 76,excellent,"LINESTRING (13.3655757 52.3695027, 13.3649711 52.3697618, 13.3643258 52.370032, 13.3640508 52.3701366, 13.3640117 52.3701506, 13.3638133 52.3702231)"
primary,2.0,no,120.0,,yes,L 76,excellent,"LINESTRING (13.3637318 52.370122, 13.36391 52.3700524, 13.3642202 52.3699395, 13.3644494 52.3698513, 13.3648865 52.3696653, 13.3654156 52.3694305)"
secondary,2.0,,80.0,,,L 79,good,"LINESTRING (13.1727093 52.330976, 13.1723794 52.3314808, 13.1721129 52.3318711, 13.1719751 52.33203, 13.1718111 52.3321767, 13.1716496 52.3323085, 13.1715227 52.3323837, 13.1713102 52.3325004, 13.171058 52.3326163, 13.1707327 52.3327338, 13.1696743 52.3330612, 13.1662232 52.3341217, 13.1631529 52.3349447, 13.162824 52.3350424, 13.1625027 52.3351673, 13.1622761 52.3352727)"
secondary,1.0,,50.0,,yes,L 79,excellent,"LINESTRING (13.1562005 52.3426925, 13.1562577 52.3425904, 13.1564734 52.342328, 13.1565109 52.3422237)"
primary,3.0,no,60.0,,yes,B 2,excellent,"LINESTRING (13.5365027 52.6129637, 13.5363421 52.6129132, 13.5362322 52.6128778)"
secondary,2.0,,60.0,,,L 402,good,"LINESTRING (13.5669578 52.341966, 13.5672177 52.3419554, 13.5674705 52.3419371, 13.5679065 52.3418965, 13.5682769 52.3418497)"
secondary,2.0,no,,,,L 79,,"LINESTRING (13.1415757 52.3524058, 13.1412624 52.3524839)"
secondary,3.0,no,,,,L 79,good,"LINESTRING (13.1443103 52.3517268, 13.1427721 52.3521033, 13.1427584 52.3521067)"
secondary,,no,60.0,,,L 79,,"LINESTRING (13.1423986 52.3521927, 13.1415757 52.3524058)"
secondary,2.0,no,,,,L 79,,"LINESTRING (13.137525 52.3539417, 13.1372865 52.3540815)"
secondary,2.0,,70.0,,,L 79,good,"LINESTRING (13.1612954 52.336042, 13.1578695 52.3407288, 13.1572439 52.341567)"
secondary,2.0,,,,,L 79,excellent,"LINESTRING (13.1622761 52.3352727, 13.1620087 52.3354103, 13.1618904 52.3354962, 13.1617477 52.3355984, 13.1615525 52.3357676, 13.1614161 52.3359007, 13.1612954 52.336042)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.1661714 52.3774463, 13.1660779 52.3774408, 13.1659919 52.3774179, 13.1659219 52.3773797)"
primary,2.0,,100.0,,,B 96a,good,"LINESTRING (13.3649392 52.6472406, 13.3642353 52.6476616, 13.3638833 52.6478693, 13.3635858 52.6480422, 13.3621906 52.6488695, 13.3605119 52.6498541, 13.3592475 52.6506026, 13.3578303 52.6514343, 13.3576264 52.6515451, 13.3573946 52.6516453, 13.3571394 52.6517334, 13.3568016 52.6518363, 13.3540598 52.652682, 13.3511229 52.6535878, 13.3485776 52.6543717, 13.3469389 52.6548784, 13.3463644 52.655052, 13.3457593 52.6552385, 13.3451379 52.6554328, 13.3446245 52.6555938)"
secondary,,yes,50.0,,,L 75,good,"LINESTRING (13.4428301 52.3942962, 13.442757 52.3943047, 13.442684 52.3942961, 13.4426387 52.3942807, 13.4426015 52.3942585, 13.442575 52.3942313, 13.4425625 52.3942062, 13.4425592 52.39418, 13.4425652 52.394154, 13.4425864 52.3941226, 13.442621 52.394096, 13.4426664 52.3940764, 13.4427189 52.3940652, 13.4427849 52.3940641, 13.4428478 52.3940763, 13.4428813 52.3940896, 13.4429097 52.3941067, 13.442932 52.3941269, 13.4429518 52.3941613, 13.442954 52.3941978, 13.4429408 52.3942292, 13.4429143 52.3942574, 13.4428765 52.3942803, 13.4428301 52.3942962)"
secondary,2.0,,50.0,,,L 312,good,"LINESTRING (13.567515 52.6478974, 13.5682813 52.6477479)"
secondary,2.0,,80.0,,,L 40,excellent,"LINESTRING (13.3399497 52.346176, 13.3401121 52.3461359)"
primary,2.0,no,70.0,,yes,B 2,excellent,"LINESTRING (13.5362423 52.6127558, 13.5364103 52.6128129, 13.5367067 52.6129022)"
primary,2.0,no,60.0,,yes,B 2,excellent,"LINESTRING (13.5362322 52.6128778, 13.5361036 52.6128358)"
primary,2.0,,70.0,,yes,L 76,,"LINESTRING (13.3213439 52.3821813, 13.3208386 52.3823001)"
primary,3.0,,70.0,,yes,L 76,,"LINESTRING (13.3208386 52.3823001, 13.3204249 52.3823406, 13.319943 52.3823418, 13.3195295 52.3822936, 13.3192102 52.3822205)"
primary,2.0,,70.0,,yes,L 76,,"LINESTRING (13.3249623 52.3799052, 13.3246459 52.3800251)"
primary,3.0,,70.0,,yes,L 76,,"LINESTRING (13.3246459 52.3800251, 13.324264 52.3801737, 13.3239272 52.3803385)"
primary,3.0,,70.0,,yes,L 76,,"LINESTRING (13.3225967 52.3812776, 13.3227667 52.3810423, 13.322928 52.3808661, 13.323093 52.3807042)"
primary,3.0,no,70.0,,yes,B 101,,"LINESTRING (13.3413086 52.3915224, 13.340569 52.3910249, 13.3403537 52.3908768)"
primary,2.0,no,70.0,,yes,B 101,,"LINESTRING (13.3416028 52.3917231, 13.3413086 52.3915224)"
secondary,1.0,yes,50.0,,,L 338,good,"LINESTRING (13.6892973 52.5299815, 13.6892558 52.5299779, 13.6891996 52.5299601, 13.68916 52.5299444, 13.6890291 52.5299067, 13.6889252 52.5298841, 13.6888397 52.5298749, 13.6887387 52.5298728, 13.6886739 52.5298727, 13.6886141 52.5298644, 13.6885892 52.5298554, 13.6885735 52.5298498, 13.6885441 52.5298281, 13.6885311 52.5297964, 13.6885285 52.5297828, 13.6885302 52.5297578, 13.6885426 52.5297387, 13.6885552 52.5297197, 13.6885823 52.5297067, 13.6886407 52.5296907, 13.6887004 52.5296876, 13.6887427 52.5296928, 13.688831 52.5297248, 13.6888835 52.5297429, 13.6889411 52.5297568, 13.6890658 52.5297823, 13.6891434 52.5297908, 13.6892209 52.5297932, 13.6893119 52.5297928, 13.6893562 52.529797, 13.6893923 52.5298087, 13.6894208 52.5298258, 13.6894405 52.5298495, 13.6894494 52.5298777, 13.6894475 52.5299103, 13.6894354 52.5299312, 13.6894123 52.5299525, 13.6893901 52.5299648, 13.6893489 52.5299763, 13.6892973 52.5299815)"
secondary,,no,60.0,,,L 79,,"LINESTRING (13.1426146 52.3521411, 13.1423986 52.3521927)"
secondary,1.0,,70.0,,yes,L 79,excellent,"LINESTRING (13.1567848 52.3419376, 13.1568869 52.3418608, 13.1569915 52.3417551, 13.1572439 52.341567)"
secondary,1.0,,80.0,,yes,L 77,,"LINESTRING (13.1561294 52.3416457, 13.1562804 52.3417267, 13.1565036 52.3418912)"
secondary,1.0,,100.0,,yes,L 77,excellent,"LINESTRING (13.1573433 52.3426236, 13.157223 52.3425554, 13.1571098 52.3424732, 13.156961 52.342354, 13.1567955 52.3422786)"
secondary,,no,,,,L 79,,"LINESTRING (13.1388105 52.3531909, 13.1386307 52.3532689)"
secondary,2.0,no,70.0,,,L 79,good,"LINESTRING (13.1350453 52.3544474, 13.1338693 52.3544451, 13.1334087 52.3544784, 13.1330046 52.354542, 13.1325959 52.3546341, 13.1322267 52.3547492, 13.1318229 52.3548916, 13.1315443 52.3549871, 13.1312403 52.3550862, 13.1307338 52.3552193, 13.1304089 52.3552846, 13.130063 52.35534, 13.129709 52.355383, 13.1275805 52.3556297)"
secondary,,no,,,,L 79,good,"LINESTRING (13.1372865 52.3540815, 13.1369185 52.3542509, 13.136691 52.3543308)"
secondary,4.0,no,,,,L 79,good,"LINESTRING (13.136691 52.3543308, 13.1365227 52.3543751, 13.1362915 52.3544133, 13.1360226 52.3544456, 13.1359554 52.3544488, 13.1357754 52.3544573)"
primary,2.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4262612 52.3669176, 13.4267073 52.3668983)"
secondary,1.0,no,50.0,,yes,L 400,good,"LINESTRING (13.5574023 52.357557, 13.5574307 52.3576508, 13.5574481 52.3577344, 13.5574454 52.3578097, 13.5574436 52.3579511)"
secondary,2.0,no,50.0,,,L 400,good,"LINESTRING (13.5574023 52.357557, 13.5574048 52.3574297)"
secondary,1.0,no,50.0,,yes,L 400,good,"LINESTRING (13.5573247 52.3579506, 13.5573301 52.3578282, 13.5573354 52.357727, 13.5574023 52.357557)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.2689506 52.40294, 13.26901 52.4029475, 13.2690623 52.4029661, 13.2691023 52.4029939)"
secondary,,yes,50.0,,yes,,good,"LINESTRING (13.5142615 52.4464106, 13.5143721 52.4464539, 13.5144069 52.4464675, 13.5145097 52.4465077)"
secondary,1.0,yes,50.0,,yes,L 400,good,"LINESTRING (13.5574436 52.3579511, 13.5574271 52.358031, 13.5573778 52.3581612)"
secondary,1.0,,80.0,,yes,L 77,excellent,"LINESTRING (13.1565036 52.3418912, 13.1565979 52.341954)"
secondary,1.0,,80.0,,yes,L 77,,"LINESTRING (13.1564245 52.3419222, 13.1562093 52.3417413, 13.1561294 52.3416457)"
secondary,2.0,,80.0,,,L 40,,"LINESTRING (13.3716196 52.3393502, 13.3755733 52.338138, 13.3779908 52.3373968, 13.37896 52.3371409, 13.379354 52.3370369, 13.3797727 52.3369134, 13.3801027 52.3367958, 13.3808927 52.3364482, 13.3813554 52.3362798, 13.3818131 52.3361236)"
secondary,2.0,,80.0,,,L 40,excellent,"LINESTRING (13.3288939 52.3487076, 13.3315128 52.3481972, 13.3329588 52.3479087, 13.333501 52.3477877, 13.3359235 52.3471822, 13.3376962 52.3467405, 13.3387741 52.3464717, 13.3390127 52.3464089, 13.3399497 52.346176)"
primary,2.0,no,70.0,,yes,L 76,excellent,"LINESTRING (13.3657964 52.3694038, 13.3655757 52.3695027)"
primary,2.0,no,100.0,,yes,L 76,excellent,"LINESTRING (13.3654156 52.3694305, 13.3656406 52.3693355)"
secondary,2.0,,70.0,,,L 20,,"LINESTRING (13.1226038 52.4944215, 13.1229114 52.4947211, 13.1231823 52.4950572, 13.1234117 52.495408)"
secondary,2.0,,70.0,,,L 33,excellent,"LINESTRING (13.6937356 52.5519507, 13.6948885 52.5516466, 13.6952523 52.5515358)"
secondary,2.0,,100.0,,,L 33,,"LINESTRING (13.6969583 52.5509448, 13.6981675 52.5504067, 13.6993213 52.5498382, 13.7024526 52.5482526, 13.7065176 52.5461892)"
secondary,2.0,,70.0,,,L 33,good,"LINESTRING (13.7351932 52.5552751, 13.7361365 52.5557253)"
secondary,2.0,,100.0,,,L 33,,"LINESTRING (13.74058 52.5571515, 13.7414799 52.5573225, 13.74218 52.5574186, 13.7425245 52.5574659, 13.7433226 52.557556, 13.744659 52.557669, 13.7462559 52.5577413, 13.7493579 52.5578859, 13.7506647 52.5579471)"
secondary,2.0,no,70.0,,,L 33,good,"LINESTRING (13.7659081 52.5605801, 13.7655266 52.5606496, 13.765426 52.5606639, 13.7651555 52.5607034, 13.7647329 52.5607514, 13.764369 52.5607812, 13.7640306 52.5607929, 13.7637154 52.5607965, 13.7634266 52.56079, 13.7631016 52.5607776, 13.7627713 52.5607495)"
secondary,3.0,,70.0,,,L 33,,"LINESTRING (13.7597184 52.5599868, 13.7604481 52.5602557, 13.7609922 52.5604265, 13.7612367 52.5604965, 13.7616663 52.5605863, 13.7618647 52.5606255)"
secondary,2.0,,100.0,,,L 20,,"LINESTRING (13.1388309 52.6214612, 13.1376555 52.6208146, 13.1355432 52.6197415, 13.1332177 52.6185681, 13.1315574 52.6177273, 13.1300505 52.6169641, 13.1292439 52.6165532)"
secondary,3.0,no,70.0,,,L 20,,"LINESTRING (13.1105625 52.5292378, 13.1106397 52.5302707, 13.11065 52.5304078)"
secondary,3.0,no,70.0,,,L 200,excellent,"LINESTRING (13.5694121 52.651259, 13.5697696 52.6517367)"
primary,5.0,no,,,,B 5,good,"LINESTRING (13.1179711 52.5290337, 13.1188931 52.5290047, 13.1189275 52.5290036, 13.1190977 52.5289991)"
secondary,6.0,yes,50.0,,,L 339,excellent,"LINESTRING (13.6394589 52.5422795, 13.6394521 52.5424059)"
primary,3.0,no,70.0,,yes,L 76,excellent,"LINESTRING (13.3635782 52.3701744, 13.3637318 52.370122)"
secondary,,,60.0,,,L 794,good,"LINESTRING (13.2505562 52.3395707, 13.2505349 52.339665, 13.2505436 52.3397322, 13.2505877 52.3397976)"
secondary,3.0,yes,50.0,,yes,,intermediate,"LINESTRING (13.5145319 52.4686483, 13.5147393 52.4687627)"
secondary,1.0,no,50.0,,,,excellent,"LINESTRING (13.1569322 52.3419898, 13.156965 52.3420119, 13.1569909 52.3420415, 13.157011 52.3420885, 13.1570097 52.3421352, 13.156996 52.3421681, 13.1569489 52.342219, 13.1568599 52.3422636, 13.1567955 52.3422786, 13.1567018 52.342283)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2676404 52.3955854, 13.2675772 52.3956106, 13.2675046 52.3956232, 13.2674292 52.3956222)"
secondary,2.0,no,70.0,,,L 79,,"LINESTRING (13.1261292 52.3557924, 13.1258368 52.3558252)"
secondary,2.0,no,70.0,,,L 79,good,"LINESTRING (13.1258368 52.3558252, 13.1226582 52.3561816, 13.1222918 52.3562041, 13.1219766 52.3562055, 13.1217647 52.3561972, 13.1215383 52.3561799, 13.1213913 52.3561639, 13.1212494 52.356145, 13.1208753 52.3560818)"
secondary,2.0,no,70.0,,,L 79,good,"LINESTRING (13.1200711 52.3559291, 13.1167821 52.3553084)"
primary,3.0,,70.0,,yes,B 96a,good,"LINESTRING (13.424037 52.3670876, 13.4225727 52.3671067)"
primary,3.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4235377 52.3669502, 13.4241311 52.3669472)"
primary,3.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4253257 52.3670585, 13.4248837 52.3670682)"
primary,3.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4284042 52.3669865, 13.4271976 52.3670301, 13.4265035 52.3670394, 13.4262645 52.3670431)"
primary,4.0,,70.0,,yes,L 76,,"LINESTRING (13.3245587 52.3799209, 13.3257308 52.3794783, 13.3259742 52.3793864)"
primary,4.0,,70.0,,yes,L 76,,"LINESTRING (13.3619307 52.3705549, 13.3625525 52.3704294, 13.3630444 52.3703155)"
primary,2.0,,70.0,,yes,L 76,,"LINESTRING (13.3293359 52.3782419, 13.3279404 52.378768, 13.3273583 52.3790008)"
primary,2.0,disused,80.0,,yes,L 76,good,"LINESTRING (13.3987968 52.3673694, 13.3992474 52.3673621, 13.4001003 52.3673604, 13.4015004 52.3673523, 13.4032828 52.3673228, 13.4051053 52.3672859, 13.4059274 52.3672761, 13.410533 52.3671982)"
primary,2.0,yes,70.0,,yes,L 76,good,"LINESTRING (13.4222262 52.3671071, 13.4200059 52.3671504, 13.419436 52.3671455, 13.4154743 52.3672029)"
primary,4.0,,70.0,,yes,L 76,excellent,"LINESTRING (13.3943878 52.3674407, 13.3959671 52.3674137, 13.3960201 52.3674128, 13.3963286 52.3674109)"
secondary,,yes,,,,,,"LINESTRING (13.2174544 52.6113622, 13.2174228 52.6113622, 13.2173915 52.6113588, 13.2173619 52.611352, 13.2173346 52.6113421, 13.2173108 52.6113295)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.3888924 52.4993861, 13.3887418 52.4994233)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.4386751 52.4526945, 13.4384963 52.4526771)"
secondary,2.0,,70.0,,,L 338,good,"LINESTRING (13.6606082 52.5380456, 13.6604398 52.5381011)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.3887343 52.4993322, 13.3888924 52.4993861)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.4385065 52.4525713, 13.4386777 52.4525794)"
secondary,3.0,yes,50.0,,yes,,,"LINESTRING (13.4522602 52.4525866, 13.452049 52.452553)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.4520743 52.4524933, 13.4522602 52.4525866)"
primary,2.0,no,70.0,,,B 2,good,"LINESTRING (13.5072552 52.5973814, 13.5063985 52.5970448)"
secondary,2.0,,,,,L 79,good,"LINESTRING (13.1505515 52.3488889, 13.1497116 52.3497855)"
secondary,2.0,no,,,,L 79,good,"LINESTRING (13.1459773 52.3512611, 13.1448622 52.3515757, 13.1443103 52.3517268)"
secondary,3.0,yes,50.0,,yes,,intermediate,"LINESTRING (13.4646497 52.4703345, 13.4644755 52.4702502)"
secondary,2.0,no,70.0,,,L 235,intermediate,"LINESTRING (13.7614085 52.6013012, 13.7618032 52.601348, 13.7627588 52.6014647, 13.764065 52.6016194, 13.7660925 52.6018593, 13.7712395 52.6024631, 13.7743348 52.6028309, 13.7799796 52.6035012, 13.7880773 52.6044635, 13.788416 52.6044923)"
primary,2.0,,70.0,,,B 158,good,"LINESTRING (13.6618156 52.6172749, 13.6621285 52.617412, 13.6623202 52.6174985)"
primary,3.0,,70.0,,,B 158,good,"LINESTRING (13.6612797 52.6170374, 13.6618156 52.6172749)"
primary,3.0,no,70.0,,,B 158,good,"LINESTRING (13.6482146 52.6107075, 13.6482912 52.6107175, 13.6498745 52.6109167)"
primary,2.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4262645 52.3670431, 13.4253257 52.3670585)"
primary,2.0,,70.0,,yes,,good,"LINESTRING (13.422334 52.3671059, 13.4222262 52.3671071)"
secondary,3.0,no,70.0,,,L 33,good,"LINESTRING (13.7627713 52.5607495, 13.7621722 52.5606819, 13.7618647 52.5606255)"
secondary,2.0,,70.0,,,L 33,,"LINESTRING (13.7383457 52.5565729, 13.7390671 52.5567889, 13.74058 52.5571515)"
secondary,3.0,,70.0,,,L 33,good,"LINESTRING (13.7383457 52.5565729, 13.737657 52.556343, 13.737254 52.5561945, 13.7370758 52.5561257)"
secondary,2.0,,70.0,,,L 33,,"LINESTRING (13.7093389 52.5451205, 13.709798 52.5450161, 13.7106339 52.5448783)"
secondary,3.0,,70.0,,,L 33,,"LINESTRING (13.7072155 52.5458456, 13.7077513 52.5456227, 13.7079887 52.5455352)"
secondary,2.0,,70.0,,,L 33,,"LINESTRING (13.7065176 52.5461892, 13.7072155 52.5458456)"
primary,2.0,no,,,,B 158,good,"LINESTRING (13.6478011 52.6106616, 13.6478879 52.6106712, 13.6482146 52.6107075)"
secondary,2.0,,70.0,,,L 200,excellent,"LINESTRING (13.5663363 52.6470917, 13.5667004 52.6475966, 13.5670073 52.647997, 13.5674891 52.6486711)"
secondary,2.0,no,100.0,,no,L 30,good,"LINESTRING (13.4056313 52.6737445, 13.408539 52.6751201, 13.4101018 52.6758448, 13.4116688 52.6765791, 13.4130889 52.6772391, 13.4132095 52.6772954, 13.4149969 52.6781571, 13.4176055 52.679378, 13.4182065 52.6796557)"
secondary,2.0,,80.0,,,L 77,,"LINESTRING (13.2347501 52.362782, 13.2352121 52.3638159)"
secondary,,,,,,L 77,,"LINESTRING (13.2347501 52.362782, 13.2345842 52.3624086)"
secondary,,yes,50.0,,yes,,good,"LINESTRING (13.3476605 52.5961881, 13.347648 52.5962802)"
secondary,,yes,50.0,,yes,,good,"LINESTRING (13.3475033 52.5962748, 13.3475206 52.5961764)"
secondary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.2948685 52.5762832, 13.2948066 52.5763928)"
primary,2.0,no,70.0,,,B 2,good,"LINESTRING (13.5092513 52.5981768, 13.5081498 52.5977397)"
primary,2.0,no,50.0,,,B 2,good,"LINESTRING (13.5063985 52.5970448, 13.5060937 52.5969219)"
primary,2.0,no,50.0,,,B 2,good,"LINESTRING (13.5060937 52.5969219, 13.5054243 52.5966598)"
secondary,,yes,50.0,,yes,,good,"LINESTRING (13.4713847 52.5020048, 13.4714262 52.5021051)"
secondary,2.0,,100.0,,,L 235,good,"LINESTRING (13.724267 52.6488362, 13.7244339 52.6487426, 13.7245277 52.6486842, 13.7246581 52.6485849, 13.7247751 52.6484757, 13.7257641 52.6474637, 13.7259272 52.6473032, 13.7262903 52.6469367, 13.7265326 52.6466455, 13.7276195 52.6451624, 13.7278968 52.6448316, 13.7292832 52.6434865, 13.7295586 52.6432068, 13.7296899 52.6430508, 13.7298337 52.6428527, 13.73041 52.6419078, 13.7306665 52.6414394, 13.7310256 52.6406894)"
secondary,2.0,yes,50.0,,,,good,"LINESTRING (13.501489 52.5491049, 13.5014987 52.5490598, 13.5015051 52.5490298, 13.5015151 52.548983)"
secondary,,,,,,,,"LINESTRING (13.2101948 52.3922753, 13.2101819 52.3922482, 13.2101819 52.39222)"
secondary,2.0,,100.0,,,L 292,good,"LINESTRING (13.7365675 52.6779118, 13.7365252 52.6778006, 13.7357595 52.6758178, 13.734696 52.6729914, 13.7338357 52.6707859, 13.7337903 52.6706799, 13.7332106 52.6692459, 13.7322989 52.6670195, 13.7322076 52.6668076, 13.7320154 52.6663096, 13.7319231 52.6659159, 13.7318028 52.6651399, 13.7313195 52.661257)"
secondary,,yes,,,,,,"LINESTRING (13.231103 52.3836117, 13.2311097 52.3835633, 13.2311387 52.3835219, 13.2311869 52.3834878, 13.2312497 52.3834643, 13.2313213 52.3834535, 13.2313949 52.3834564, 13.2314599 52.3834716, 13.231515 52.3834975, 13.2315564 52.3835327, 13.2315791 52.3835738, 13.2315811 52.3836172, 13.2315622 52.383659, 13.2315276 52.3836931, 13.2314793 52.3837202, 13.2314207 52.3837383, 13.2313563 52.383746, 13.2312909 52.3837428, 13.2312294 52.383729, 13.2311663 52.3836993, 13.2311226 52.3836587, 13.231103 52.3836117)"
secondary,2.0,,50.0,,no,L 77,,"LINESTRING (13.2312294 52.383729, 13.2311711 52.3837996, 13.2306145 52.3844366, 13.2294468 52.3857647, 13.229382 52.3858455)"
secondary,1.0,,50.0,,yes,L 77,,"LINESTRING (13.2345418 52.3798877, 13.2344772 52.3799201, 13.2344401 52.379959, 13.2342055 52.3802729, 13.2332977 52.3814022, 13.2326067 52.3822266, 13.2315745 52.383412, 13.231515 52.3834975)"
secondary,2.0,,50.0,,,L 77,,"LINESTRING (13.2291787 52.3860753, 13.2291032 52.3861581, 13.2282016 52.3871975, 13.2278977 52.3875712, 13.2276331 52.3879174, 13.2275189 52.388103, 13.2273459 52.3884213, 13.2271776 52.3887788, 13.2267671 52.3898795)"
secondary,,,,,,,,"LINESTRING (13.2290784 52.3859195, 13.2291135 52.3858798, 13.2291688 52.3858497, 13.2292376 52.3858329, 13.2293116 52.3858315, 13.229382 52.3858455)"
secondary,,yes,,,,,,"LINESTRING (13.2343162 52.3797551, 13.2343322 52.3797007, 13.2343622 52.3796767, 13.2344133 52.3796483, 13.2344766 52.3796313, 13.2345455 52.3796276, 13.2346127 52.3796375, 13.2346689 52.3796588, 13.2347118 52.3796895, 13.2347372 52.3797268, 13.2347427 52.379767, 13.2347277 52.3798064, 13.2346976 52.3798381, 13.2346541 52.3798635, 13.2346008 52.3798805, 13.2345418 52.3798877, 13.2344716 52.379883, 13.2344078 52.3798646, 13.2343573 52.3798345, 13.2343261 52.3797968, 13.2343162 52.3797551)"
primary,2.0,no,120.0,,yes,L 76,excellent,"LINESTRING (13.3636681 52.3702742, 13.3633443 52.3703721, 13.3629227 52.3704833, 13.3624447 52.3705891, 13.3616762 52.370721)"
primary,3.0,no,70.0,,yes,L 76,excellent,"LINESTRING (13.3638133 52.3702231, 13.3636681 52.3702742)"
secondary,2.0,,,,,L 20,,"LINESTRING (13.1213863 52.4932535, 13.1226038 52.4944215)"
secondary,2.0,yes,50.0,,,L 402,good,"LINESTRING (13.5453849 52.3461847, 13.5455533 52.3461631, 13.5456931 52.3461443, 13.5458711 52.3461081, 13.5462286 52.3460149)"
secondary,3.0,,,,,L 402,good,"LINESTRING (13.5576013 52.3431999, 13.5584877 52.3430032, 13.5591273 52.342875)"
secondary,2.0,,,,,L 402,good,"LINESTRING (13.5557338 52.3436096, 13.5576013 52.3431999)"
secondary,1.0,,50.0,,yes,L 77,,"LINESTRING (13.2313949 52.3834564, 13.2314782 52.3833804, 13.232019 52.3827981, 13.2328187 52.3818435, 13.2334766 52.3810619, 13.2341271 52.3802279, 13.2342888 52.380004, 13.2343337 52.3799334, 13.2343584 52.3798739, 13.2343573 52.3798345)"
secondary,2.0,no,,,,L 400,good,"LINESTRING (13.5574048 52.3574297, 13.5574289 52.356749, 13.5576033 52.3521138, 13.5576178 52.3517522, 13.5576237 52.3515852, 13.5576417 52.3510827)"
secondary,2.0,,,,,L 402,good,"LINESTRING (13.5682769 52.3418497, 13.5684664 52.3418227, 13.568628 52.3417987, 13.5689585 52.3417342, 13.5692521 52.341667, 13.5698121 52.3415293)"
primary,2.0,no,100.0,,yes,L 76,excellent,"LINESTRING (13.3685572 52.3684684, 13.3673272 52.3688065, 13.3665044 52.3690961, 13.3657964 52.3694038)"
secondary,2.0,,50.0,,,L 40,excellent,"LINESTRING (13.3164366 52.3527636, 13.3177065 52.3523969)"
secondary,3.0,,50.0,,,L 40,excellent,"LINESTRING (13.3156368 52.3529776, 13.3160254 52.3528628, 13.3164366 52.3527636)"
primary,2.0,,70.0,,,B 96a,good,"LINESTRING (13.3661304 52.6465421, 13.3650502 52.6471735)"
secondary,,yes,30.0,,no,,,"LINESTRING (13.4487247 52.4573401, 13.4488715 52.457358)"
secondary,1.0,no,100.0,,yes,,good,"LINESTRING (13.3257902 52.6615571, 13.3258355 52.6615592, 13.3258808 52.6615578, 13.3259267 52.6615558, 13.3259717 52.6615564, 13.3260208 52.6615581, 13.3260849 52.6615624, 13.3261236 52.6615665, 13.3261451 52.6615698, 13.3261604 52.6615728, 13.3261749 52.6615766, 13.3261866 52.6615807, 13.3261976 52.6615853, 13.3262076 52.6615905, 13.3262655 52.6616259)"
secondary,2.0,no,100.0,,,,good,"LINESTRING (13.3257902 52.6615571, 13.3249475 52.6614516, 13.3246925 52.6614263, 13.3244376 52.6614092, 13.3241853 52.6614009, 13.3239303 52.6613992, 13.3236767 52.6614065, 13.3234993 52.6614139, 13.3233941 52.6614233, 13.32331 52.6614309, 13.3231142 52.6614546, 13.3228523 52.6614964, 13.3226013 52.6615463, 13.3222591 52.6616215, 13.3206362 52.6620062, 13.3196396 52.6622405, 13.3194667 52.6622827, 13.3189404 52.6624129, 13.3188253 52.6624399, 13.3187975 52.6624464)"
secondary,1.0,no,100.0,,yes,,good,"LINESTRING (13.326139 52.6617045, 13.3260246 52.6616351, 13.3259731 52.6616093, 13.3259159 52.6615871, 13.3258536 52.6615699, 13.3257902 52.6615571)"
primary,4.0,yes,50.0,,yes,B 1,,"LINESTRING (13.3198732 52.4546774, 13.3196175 52.4546231, 13.3193449 52.4545631, 13.3192876 52.4545502, 13.3192536 52.4545415)"
secondary,1.0,yes,50.0,,,,excellent,"LINESTRING (13.4038203 52.3480107, 13.4038329 52.3480419, 13.4038299 52.3480807, 13.4038144 52.3481087, 13.4037901 52.3481323, 13.4037231 52.3481654)"
primary,2.0,,100.0,,,B 158,good,"LINESTRING (13.6517592 52.6118324, 13.6525613 52.6124019, 13.6531118 52.6127961, 13.6541417 52.6135284, 13.6545772 52.6138031, 13.6549096 52.6140261, 13.6554427 52.6143328, 13.6572932 52.6151908, 13.6574629 52.6152697, 13.6582517 52.6156365, 13.6584606 52.6157336, 13.659295 52.6161215, 13.6603871 52.6166255)"
primary,2.0,,70.0,,,B 158,good,"LINESTRING (13.6603871 52.6166255, 13.6612797 52.6170374)"
primary,2.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4408177 52.3649017, 13.44071 52.364943, 13.4405798 52.3649929, 13.4401479 52.3651354)"
secondary,2.0,no,50.0,,,L 200,excellent,"LINESTRING (13.5763854 52.6607927, 13.5764147 52.660831, 13.5764482 52.6608732)"
secondary,2.0,no,50.0,,,L 402,excellent,"LINESTRING (13.5194218 52.343901, 13.5195822 52.343982)"
secondary,2.0,no,70.0,,,L 200,excellent,"LINESTRING (13.5692734 52.6510775, 13.5694121 52.651259)"
