highway,lanes,lit,maxspeed,streetname,oneway,ref,smoothness,geometry
secondary,1.0,,80.0,,yes,L 77,excellent,"LINESTRING (13.156475 52.3420257, 13.1564567 52.3419726, 13.1564245 52.3419222)"
secondary,,,50.0,,,,good,"LINESTRING (13.1954077 52.3657366, 13.1953901 52.3657689, 13.1953558 52.3657957, 13.1953137 52.3658126, 13.1952653 52.3658209, 13.195215 52.3658197, 13.1951676 52.3658093, 13.1951277 52.3657906, 13.195099 52.3657654, 13.1950842 52.365736, 13.1950843 52.3657068, 13.1950983 52.365679, 13.1951248 52.3656547, 13.1951617 52.3656362, 13.1952057 52.3656249, 13.1952578 52.3656221, 13.1953086 52.3656295, 13.1953531 52.3656462, 13.1953866 52.3656707, 13.1954065 52.3657025, 13.1954077 52.3657366)"
secondary,1.0,,50.0,,,,good,"LINESTRING (13.2191957 52.6360638, 13.2192642 52.6360759, 13.2193274 52.6361012, 13.2193781 52.63614, 13.2194062 52.6361902, 13.2194055 52.636238, 13.2193769 52.6362869, 13.2193223 52.6363271, 13.2192468 52.636354, 13.2191596 52.6363632, 13.219072 52.6363532, 13.2189957 52.6363249, 13.218941 52.6362821, 13.218915 52.6362309, 13.2189153 52.6361931, 13.2189314 52.6361562, 13.2189601 52.6361247, 13.2189997 52.6360986, 13.2190615 52.636075, 13.2191257 52.6360639, 13.2191957 52.6360638)"
secondary,,yes,50.0,,,,good,"LINESTRING (13.3926193 52.5425175, 13.3927854 52.5425674)"
secondary,,yes,50.0,,yes,,excellent,"LINESTRING (13.3771738 52.5536995, 13.3772129 52.553868)"
secondary,,yes,50.0,,yes,,excellent,"LINESTRING (13.3770635 52.5539925, 13.3770171 52.5538282)"
secondary,,yes,50.0,,yes,,good,"LINESTRING (13.3814151 52.5521997, 13.3815725 52.552298)"
secondary,,yes,50.0,,yes,,good,"LINESTRING (13.3814051 52.5523656, 13.3812484 52.5522702)"
secondary,2.0,yes,50.0,,,,good,"LINESTRING (13.390991 52.5446256, 13.3910398 52.5446756, 13.3910907 52.5447187)"
secondary,3.0,no,70.0,,,L 79,,"LINESTRING (13.1357754 52.3544573, 13.1355118 52.3544536, 13.1350453 52.3544474)"
secondary,,no,70.0,,,L 794,,"LINESTRING (13.2693968 52.3584078, 13.269489 52.3587927)"
secondary,2.0,,50.0,,,L 403,good,"LINESTRING (13.2872168 52.3508087, 13.2869768 52.3507997, 13.2863561 52.3507746, 13.2862048 52.3507612, 13.2860678 52.3507411)"
secondary,2.0,yes,50.0,,,L 38,good,"LINESTRING (13.7620207 52.4210898, 13.7612841 52.4210382)"
secondary,2.0,yes,50.0,,yes,,good,"LINESTRING (13.5135569 52.4645617, 13.5135792 52.4645632, 13.5136009 52.4645647, 13.5136414 52.4645674, 13.5136853 52.4645704)"
secondary,2.0,no,50.0,,,L 79,good,"LINESTRING (13.1167821 52.3553084, 13.1163312 52.3552299, 13.116172 52.3552082, 13.1160091 52.3552004, 13.1157931 52.3552116, 13.1155883 52.3552462, 13.1154266 52.3552925, 13.1152962 52.355345)"
secondary,2.0,no,100.0,,,L 20,,"LINESTRING (13.1125672 52.539371, 13.1126416 52.5401491)"
primary,2.0,no,70.0,,yes,B 101,,"LINESTRING (13.3511356 52.4004617, 13.352097 52.4013567, 13.3526607 52.4018871)"
primary,2.0,,,,,B 96a,good,"LINESTRING (13.3794458 52.6349708, 13.3795704 52.6348619)"
secondary,2.0,yes,50.0,,,L 30,good,"LINESTRING (13.7439002 52.392153, 13.7446091 52.3924956)"
secondary,,yes,50.0,,,,,"LINESTRING (13.5849495 52.4665318, 13.5848826 52.4665618, 13.5848489 52.4665758, 13.5847798 52.4666046)"
secondary,,,70.0,,,L 30,,"LINESTRING (13.3635534 52.6599596, 13.3629864 52.6596363)"
secondary,2.0,,70.0,,,L 30,good,"LINESTRING (13.3629864 52.6596363, 13.3628177 52.6595414, 13.362508 52.6593871, 13.3624814 52.6593736, 13.3623044 52.6592836, 13.3620463 52.6591863, 13.3618041 52.6590999, 13.3615266 52.659025, 13.3612383 52.6589632, 13.3609298 52.6589131, 13.3605731 52.6588762, 13.3602306 52.6588552, 13.3601229 52.6588517, 13.3592177 52.6588248, 13.3586696 52.6587902, 13.3582659 52.6587526, 13.3576073 52.6586533)"
secondary,3.0,yes,50.0,,,,good,"LINESTRING (13.3249453 52.517407, 13.3247697 52.5172519)"
secondary,2.0,,50.0,,,,,"LINESTRING (13.2854999 52.3504652, 13.2850662 52.3500204)"
secondary,2.0,,50.0,,,,,"LINESTRING (13.2848644 52.3498106, 13.284767 52.3496969, 13.2846859 52.3495732, 13.2845224 52.3491798, 13.2843273 52.3487015, 13.2842947 52.3485766, 13.2842909 52.3485199, 13.2843022 52.3484631, 13.2843542 52.3482658, 13.2844322 52.3480425)"
