highway,lanes,lit,maxspeed,name,oneway,ref,smoothness,geometry
secondary,,,50,Potsdamer Allee,,K 6960,,"LINESTRING (13.1989851 52.3866613, 13.1990039 52.3866554, 13.1990241 52.3866518, 13.1990452 52.3866506, 13.1990662 52.3866518, 13.1990864 52.3866555, 13.1991052 52.3866614, 13.1991218 52.3866693, 13.1991357 52.3866791)"
secondary,,,50,Potsdamer Allee,,K 6960,,"LINESTRING (13.1991357 52.3866791, 13.1991436 52.3866868, 13.1991496 52.3866951, 13.1991539 52.3867039, 13.1991561 52.3867129, 13.1991564 52.386722, 13.1991546 52.3867311, 13.1991509 52.3867399)"
secondary,,,50,Potsdamer Allee,,K 6960,,"LINESTRING (13.198937 52.3867019, 13.1989423 52.3866922, 13.19895 52.3866831, 13.1989598 52.3866747, 13.1989716 52.3866674, 13.1989851 52.3866613)"
secondary,,,50,Potsdamer Allee,,K 6960,,"LINESTRING (13.1991509 52.3867399, 13.1991423 52.3867519, 13.1991301 52.3867626, 13.1991148 52.3867717)"
secondary,,,50,Potsdamer Allee,,K 6960,,"LINESTRING (13.1991148 52.3867717, 13.1990961 52.3867791, 13.1990755 52.3867841, 13.1990536 52.3867865, 13.1990314 52.3867862, 13.1990097 52.3867832, 13.1989895 52.3867776, 13.1989714 52.3867697)"
secondary,1,yes,50,,,,,"LINESTRING (13.2672472 52.3955403, 13.267223 52.3954951)"
secondary,1,yes,50,,,,,"LINESTRING (13.267223 52.3954951, 13.2672225 52.3954476, 13.2672457 52.3954023)"
secondary,1,yes,50,,,,,"LINESTRING (13.2672457 52.3954023, 13.2672905 52.3953634)"
secondary,1,yes,50,,,,,"LINESTRING (13.2672905 52.3953634, 13.2673525 52.3953347)"
secondary,1,yes,50,,,,,"LINESTRING (13.2673554 52.395607, 13.2672928 52.3955788)"
secondary,1,yes,50,,,,,"LINESTRING (13.2672928 52.3955788, 13.2672472 52.3955403)"
secondary,1,yes,50,,,,,"LINESTRING (13.2673554 52.395607, 13.2672928 52.3955788)"
secondary,1,yes,50,,,,,"LINESTRING (13.2672928 52.3955788, 13.2672472 52.3955403)"
secondary,1,yes,50,,,,,"LINESTRING (13.2672472 52.3955403, 13.267223 52.3954951)"
secondary,1,yes,50,,,,,"LINESTRING (13.267223 52.3954951, 13.2672225 52.3954476)"
secondary,1,yes,50,,,,,"LINESTRING (13.2672225 52.3954476, 13.2672457 52.3954023)"
secondary,1,yes,50,,,,,"LINESTRING (13.2672457 52.3954023, 13.2672905 52.3953634)"
secondary,1,yes,50,,,,,"LINESTRING (13.2672905 52.3953634, 13.2673525 52.3953347)"
secondary,1,yes,50,,,,,"LINESTRING (13.2674284 52.3953186, 13.2675087 52.3953178)"
secondary,1,yes,50,,,,,"LINESTRING (13.2675087 52.3953178, 13.2675854 52.3953325)"
secondary,1,yes,50,,,,,"LINESTRING (13.2675854 52.3953325, 13.2676506 52.3953611)"
secondary,1,yes,50,,,,,"LINESTRING (13.2677237 52.3954549, 13.2677175 52.3955074)"
secondary,1,yes,50,,,,,"LINESTRING (13.2677004 52.3954041, 13.2677237 52.3954549)"
secondary,1,yes,50,,,,,"LINESTRING (13.2677004 52.3954041, 13.2677237 52.3954549)"
secondary,1,yes,50,,,,,"LINESTRING (13.2677237 52.3954549, 13.2677175 52.3955074)"
secondary,1,yes,50,,,,,"LINESTRING (13.2674284 52.3953186, 13.2675087 52.3953178)"
secondary,1,yes,50,,,,,"LINESTRING (13.2675087 52.3953178, 13.2675854 52.3953325)"
secondary,1,yes,50,,,,,"LINESTRING (13.2675854 52.3953325, 13.2676506 52.3953611)"
secondary,1,yes,50,,,,,"LINESTRING (13.2676886 52.39555, 13.2676404 52.3955854)"
secondary,1,yes,50,,,,,"LINESTRING (13.2676886 52.39555, 13.2676404 52.3955854)"
secondary,2,yes,50,Schulstraße,yes,,good,"LINESTRING (13.3641151 52.5495748, 13.3639629 52.5494792, 13.3635905 52.5492454)"
secondary,2,yes,50,Schulstraße,yes,,good,"LINESTRING (13.3635905 52.5492454, 13.3634087 52.5491312, 13.3632334 52.5490211)"
secondary,2,yes,50,Schulstraße,yes,,good,"LINESTRING (13.3637386 52.5491784, 13.3640654 52.5493829, 13.3642355 52.5494893)"
secondary,2,,50,Mehrower Straße,,L 339,excellent,"LINESTRING (13.6302999 52.5597157, 13.6301599 52.5598978, 13.629784 52.5604282, 13.6296068 52.5607243, 13.629504 52.5608767, 13.6291623 52.5613832, 13.6291116 52.56147)"
primary,2,yes,50,Straße des 17. Juni,yes,B 2;B 5,,"LINESTRING (13.3383085 52.5136219, 13.3388318 52.5136202, 13.3419109 52.5138413, 13.3423278 52.5139057)"
primary,3,yes,50,Straße des 17. Juni,yes,B 2;B 5,,"LINESTRING (13.3366235 52.5135051, 13.3376766 52.5135807)"
primary,3,yes,50,Straße des 17. Juni,yes,B 2;B 5,,"LINESTRING (13.3376413 52.5137167, 13.3372526 52.5136907, 13.3369526 52.5136707, 13.3363874 52.5136336)"
primary,2,yes,50,Straße des 17. Juni,yes,B 2;B 5,good,"LINESTRING (13.3382963 52.5137583, 13.3382552 52.513758, 13.3381944 52.5137538, 13.338073 52.5137455, 13.3379838 52.5137394)"
secondary,3,yes,50,Hubertusallee,,,,"LINESTRING (13.2848945 52.4916877, 13.284915 52.4918713, 13.2849501 52.4921844, 13.2850238 52.4927798, 13.2851026 52.4935749)"
secondary,2,yes,50,Kurfürstendamm,yes,,,"LINESTRING (13.3068748 52.5000461, 13.3067073 52.500015, 13.3066686 52.5000076, 13.305998 52.4998825, 13.3058315 52.4998515)"
secondary,2,yes,50,Kurfürstendamm,yes,,,"LINESTRING (13.3058315 52.4998515, 13.3057423 52.4998349, 13.3056281 52.4998135, 13.3054461 52.4997779, 13.3053898 52.4997675)"
primary,4,yes,50,Bismarckstraße,yes,B 2;B 5,good,"LINESTRING (13.3170186 52.5123656, 13.3162109 52.512312, 13.3159121 52.5122915, 13.3158633 52.5122881, 13.3157775 52.5122825, 13.3151348 52.5122402)"
primary,4,yes,50,Bismarckstraße,yes,B 2;B 5,good,"LINESTRING (13.3144425 52.5121956, 13.3127492 52.5120851)"
primary,4,yes,50,Bismarckstraße,yes,B 2;B 5,good,"LINESTRING (13.3144403 52.5120331, 13.3145171 52.5120373, 13.3146012 52.5120424, 13.3146727 52.5120476, 13.3148296 52.5120563, 13.3149066 52.512061, 13.314973 52.512065, 13.315097 52.5120725)"
primary,4,yes,50,Bismarckstraße,yes,B 2;B 5,good,"LINESTRING (13.315097 52.5120725, 13.3151406 52.5120752, 13.3158963 52.5121114, 13.3162482 52.5121322, 13.3163312 52.5121364, 13.3170821 52.51218, 13.317129 52.5121831)"
secondary,2,yes,50,Breite Straße,yes,,,"LINESTRING (13.2978895 52.4734788, 13.297294 52.4736142, 13.2962932 52.4738342, 13.2947407 52.4741682, 13.2946819 52.4741798, 13.2945571 52.4742062)"
secondary,,yes,50,Attilastraße,yes,,good,"LINESTRING (13.3751625 52.4554226, 13.375104 52.455377)"
secondary,2,yes,50,Attilastraße,yes,,good,"LINESTRING (13.375104 52.455377, 13.3749934 52.4552908, 13.3749699 52.4552725)"
secondary,4,yes,50,Attilastraße,yes,,good,"LINESTRING (13.3759408 52.4557507, 13.3758815 52.4557312, 13.375699 52.4556715)"
secondary,2,yes,50,Manteuffelstraße,yes,,good,"LINESTRING (13.3761573 52.4589398, 13.3761367 52.4588496, 13.3761314 52.4588266)"
secondary,2,yes,50,Manteuffelstraße,yes,,good,"LINESTRING (13.3759061 52.4578083, 13.3759016 52.4577882, 13.3758818 52.4576987)"
secondary,2,yes,50,Manteuffelstraße,yes,,good,"LINESTRING (13.3762702 52.458798, 13.3762792 52.4588383, 13.376299 52.4589266)"
secondary,2,yes,50,Manteuffelstraße,yes,,good,"LINESTRING (13.3760219 52.4576874, 13.3760417 52.4577766, 13.3760462 52.4577969)"
secondary,2,yes,50,Manteuffelstraße,yes,,good,"LINESTRING (13.376216 52.4585555, 13.3762515 52.4587144, 13.3762702 52.458798)"
secondary,2,yes,50,Manteuffelstraße,yes,,good,"LINESTRING (13.3759977 52.4582229, 13.3759061 52.4578083)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.377074 52.4630857, 13.3770659 52.4630492, 13.3770468 52.4629631)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3770468 52.4629631, 13.3770278 52.4628777)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3772179 52.462948, 13.3772375 52.4630337, 13.3772421 52.4630539)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3775002 52.4649793, 13.3774936 52.4649512, 13.3774734 52.464865, 13.3774478 52.4647555)"
secondary,3,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3775683 52.4645177, 13.3776271 52.4647816, 13.3776427 52.4648519)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3775275 52.4643344, 13.3775683 52.4645177)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3774923 52.4641764, 13.3775033 52.4642261, 13.3775094 52.4642532, 13.3775275 52.4643344)"
primary,2,yes,60,Alt-Kaulsdorf,yes,B 1;B 5,,"LINESTRING (13.5815462 52.5050866, 13.5818633 52.5050856, 13.5819386 52.5050854)"
primary,2,yes,50,Grunerstraße,yes,B 1,,"LINESTRING (13.4125855 52.5193581, 13.4128864 52.5194681, 13.4130599 52.519534)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3769001 52.4615356, 13.3769216 52.4616298)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3768706 52.4614063, 13.3768793 52.4614447, 13.3769001 52.4615356)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3767293 52.4615511, 13.3767089 52.4614602, 13.3767039 52.4614381)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3763158 52.4590018, 13.3764189 52.4594624, 13.3764739 52.4597083)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3764312 52.4601624, 13.3764262 52.4601394, 13.3764072 52.4600523)"
secondary,2,yes,30,Manteuffelstraße,yes,,good,"LINESTRING (13.3764072 52.4600523, 13.3763871 52.45996)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3765479 52.46004, 13.3765669 52.460128, 13.376572 52.4601518)"
secondary,3,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.3764739 52.4597083, 13.3765287 52.4599529, 13.3765479 52.46004)"
secondary,2,yes,30,Manteuffelstraße,yes,,,"LINESTRING (13.376299 52.4589266, 13.3763158 52.4590018)"
secondary,2,yes,50,Waltersdorfer Chaussee,yes,,good,"LINESTRING (13.5100219 52.4049436, 13.510249 52.4047112, 13.5103054 52.4046564, 13.5103377 52.404625, 13.5104144 52.4045505)"
secondary,2,yes,50,Raoul-Wallenberg-Straße,yes,,good,"LINESTRING (13.5508989 52.5500322, 13.5492279 52.5505479)"
secondary,2,yes,50,Raoul-Wallenberg-Straße,yes,,good,"LINESTRING (13.5495843 52.5503233, 13.5506079 52.550001)"
secondary,2,yes,50,Bitterfelder Straße,yes,,good,"LINESTRING (13.5459294 52.5534396, 13.5468549 52.5533762, 13.5473119 52.5533421)"
primary,3,yes,60,Märkische Allee,yes,B 158,good,"LINESTRING (13.5517846 52.5546461, 13.5528548 52.555877)"
primary,4,yes,60,Märkische Allee,yes,B 158,good,"LINESTRING (13.553799 52.5569706, 13.5540175 52.5572227)"
primary,3,yes,50,Märkische Allee,yes,B 158,good,"LINESTRING (13.5547757 52.5581109, 13.555452 52.5589)"
primary,3,yes,60,Märkische Allee,yes,B 158,good,"LINESTRING (13.5560122 52.5595484, 13.5564383 52.5600417)"
primary,3,yes,50,Märkische Allee,yes,B 158,good,"LINESTRING (13.5560056 52.5598403, 13.5553428 52.5590603, 13.5550673 52.5587387, 13.5550144 52.558677)"
primary,2,yes,50,Märkische Allee,yes,B 158,intermediate,"LINESTRING (13.5610967 52.5654853, 13.561373 52.5657815)"
primary,3,yes,50,Märkische Allee,yes,B 158,intermediate,"LINESTRING (13.5617228 52.566154, 13.5620388 52.5664906)"
primary,3,yes,50,Märkische Allee,yes,B 158,intermediate,"LINESTRING (13.5620227 52.5666876, 13.5618806 52.5665461)"
secondary,3,yes,50,Kottbusser Tor,yes,,good,"LINESTRING (13.4185785 52.4988581, 13.418611 52.4988791)"
secondary,1,yes,50,Köllnischer Platz,yes,,good,"LINESTRING (13.570098 52.4445079, 13.569985 52.4445115, 13.5698799 52.4445229, 13.569611 52.4445587, 13.5695378 52.4445639, 13.5694657 52.4445691, 13.5694177 52.4445707, 13.5693906 52.4445701, 13.5691943 52.444547)"
secondary,2,yes,50,Hindenburgdamm,yes,,,"LINESTRING (13.3140591 52.43636, 13.3139594 52.4361331, 13.3138583 52.4360083, 13.3135224 52.4357188, 13.313342 52.4355225, 13.3133143 52.4354918, 13.3132438 52.4354156)"
secondary,2,yes,50,Hindenburgdamm,yes,,,"LINESTRING (13.3144251 52.4363412, 13.3147921 52.4365973, 13.3148765 52.4366563, 13.3150318 52.4368206, 13.3152124 52.4371115, 13.3154216 52.4374442, 13.3155274 52.4376115, 13.3156568 52.4378167, 13.315674 52.437844, 13.3156971 52.4378803, 13.3159488 52.4382659, 13.3161481 52.4388553, 13.3161568 52.4388835)"
secondary,2,yes,50,Hindenburgdamm,yes,,,"LINESTRING (13.3163624 52.439419, 13.3164459 52.4396641, 13.3164695 52.4398583, 13.3164709 52.439963, 13.3164619 52.4400609, 13.3164272 52.4402446, 13.3163873 52.440389, 13.3163462 52.4404986, 13.3163282 52.4405466, 13.3162844 52.4406723, 13.3161061 52.4411749, 13.3160312 52.4414271, 13.3159694 52.4417028, 13.3159616 52.4417463, 13.31589 52.4421664, 13.31585 52.4425777, 13.3158253 52.4427731, 13.3158062 52.4430231)"
secondary,2,yes,50,Hindenburgdamm,yes,,,"LINESTRING (13.3161537 52.4392974, 13.3160786 52.4390976, 13.3159496 52.4389165, 13.3159285 52.4388918, 13.3157156 52.4387146, 13.3155624 52.4385871, 13.3153238 52.4383391, 13.3152712 52.4382707, 13.315118 52.4380715, 13.3148769 52.4377134, 13.3147958 52.4375951, 13.3147399 52.4375106)"
primary,3,yes,50,Sachsendamm,yes,B 1,,"LINESTRING (13.3534217 52.4795551, 13.3533074 52.4796424, 13.3532264 52.4797013, 13.353139 52.4797554, 13.3530635 52.4797972)"
primary,3,yes,50,Sachsendamm,yes,B 1,,"LINESTRING (13.3535532 52.4794507, 13.3534217 52.4795551)"
secondary,2,yes,30,Invalidenstraße,yes,,good,"LINESTRING (13.3748231 52.5281833, 13.374462 52.5280681, 13.3743351 52.5280317)"
secondary,2,yes,30,Invalidenstraße,yes,,good,"LINESTRING (13.3759148 52.5285194, 13.3755366 52.528396, 13.3748231 52.5281833)"
primary,4,yes,50,Bismarckstraße,yes,B 2;B 5,good,"LINESTRING (13.2977326 52.5109119, 13.2993655 52.51102)"
primary,5,yes,50,Bismarckstraße,yes,B 2;B 5,good,"LINESTRING (13.2976894 52.5110813, 13.2975963 52.5110763)"
secondary,2,yes,30,Boelckestraße,yes,,,"LINESTRING (13.3772082 52.4824791, 13.3772806 52.4823152, 13.3773197 52.482217)"
secondary,1,yes,30,Boelckestraße,yes,,good,"LINESTRING (13.377648 52.4749673, 13.3777059 52.4746798)"
secondary,1,yes,30,Boelckestraße,yes,,good,"LINESTRING (13.3777059 52.4746798, 13.3777525 52.4744489, 13.3777675 52.4743385)"
secondary,1,yes,30,Boelckestraße,yes,,good,"LINESTRING (13.3774845 52.4755836, 13.3775575 52.4753756, 13.3775711 52.4753217, 13.3775908 52.4752437)"
secondary,1,yes,30,Boelckestraße,yes,,good,"LINESTRING (13.3772346 52.4762419, 13.3772989 52.4760907)"
secondary,1,yes,30,Boelckestraße,yes,,,"LINESTRING (13.3767001 52.4781701, 13.376705 52.4779611)"
secondary,1,yes,30,Boelckestraße,yes,,,"LINESTRING (13.3766969 52.4783148, 13.3767001 52.4781701)"
secondary,1,yes,30,Boelckestraße,yes,,,"LINESTRING (13.376694 52.4784466, 13.3766969 52.4783148)"
secondary,2,yes,30,Boelckestraße,yes,,,"LINESTRING (13.376705 52.4779611, 13.376708 52.4775972, 13.3767102 52.4775178)"
secondary,2,yes,30,Boelckestraße,yes,,excellent,"LINESTRING (13.3768912 52.4796827, 13.3768314 52.479559)"
secondary,1,yes,30,Boelckestraße,yes,,excellent,"LINESTRING (13.3768314 52.479559, 13.3767897 52.4794729)"
secondary,1,yes,30,Boelckestraße,yes,,excellent,"LINESTRING (13.3774541 52.4815287, 13.3774691 52.4814451, 13.377551 52.4813439)"
primary,3,yes,50,Landsberger Allee,yes,,good,"LINESTRING (13.4818573 52.533306, 13.4847061 52.5334655)"
primary,3,yes,50,Landsberger Allee,yes,,good,"LINESTRING (13.4766476 52.5329966, 13.477584 52.5330525)"
secondary,2,yes,50,Köpenicker Straße,,,good,"LINESTRING (13.5617449 52.4936003, 13.5616365 52.4934432, 13.5615513 52.4933272, 13.5614489 52.4931864, 13.5614127 52.4931396, 13.5614078 52.4931328, 13.5613922 52.4931113, 13.5613131 52.4930022, 13.5613024 52.4929875, 13.5612893 52.4929694, 13.5612067 52.4928554, 13.561184 52.4928242, 13.5611712 52.4928065, 13.5610634 52.4926579, 13.5610408 52.4926267, 13.5610232 52.4926024, 13.5610018 52.4925729)"
secondary,2,yes,50,Saargemünder Straße,yes,,,"LINESTRING (13.276708 52.4504179, 13.2770011 52.4503906, 13.2770302 52.4503879, 13.2775044 52.4503512, 13.2777895 52.4503225)"
secondary,,yes,50,Reichsstraße,yes,,,"LINESTRING (13.2562898 52.5194944, 13.2567539 52.5191375)"
secondary,,yes,50,Reichsstraße,yes,,,"LINESTRING (13.2571835 52.5188074, 13.2580968 52.5181156, 13.258161 52.5180666, 13.2584943 52.5178124, 13.2588186 52.517565, 13.2591491 52.5173128, 13.2594711 52.5170672)"
secondary,2,yes,50,Reichsstraße,yes,,,"LINESTRING (13.2564191 52.5196567, 13.2562891 52.5197563)"
secondary,4,yes,50,Karl-Heinrich-Ulrichs-Straße,yes,,,"LINESTRING (13.3538473 52.5000301, 13.3538632 52.4999865)"
secondary,,,50,Schönwalder Allee,no,,,"LINESTRING (13.191475 52.5679588, 13.191595 52.5678277, 13.1917436 52.5676736, 13.1918505 52.5675727)"
secondary,,yes,30,Saatwinkler Damm,,,good,"LINESTRING (13.2754062 52.5485402, 13.2764122 52.5485267, 13.2773876 52.5485093)"
secondary,,yes,50,Saatwinkler Damm,,,good,"LINESTRING (13.2790208 52.5484802, 13.2806539 52.548451)"
secondary,2,yes,50,Onkel-Tom-Straße,,,,"LINESTRING (13.2568754 52.4378559, 13.2569113 52.4378039, 13.2569315 52.4377755, 13.2569535 52.4377466, 13.2575572 52.4369668, 13.2576922 52.4367756, 13.2578881 52.4364982)"
secondary,1,yes,50,Brandenburgische Straße,yes,,,"LINESTRING (13.3069319 52.4998942, 13.306955 52.4997946, 13.3069609 52.4997693, 13.3070133 52.4995426)"
primary,2,yes,30,Grunerstraße,yes,B 1,,"LINESTRING (13.4108577 52.5185749, 13.4111733 52.5187369, 13.4112463 52.5187718)"
secondary,3,yes,50,Konstanzer Straße,yes,,,"LINESTRING (13.3092239 52.4914607, 13.3092944 52.4916002)"
secondary,2,yes,50,Hohenzollerndamm,yes,,,"LINESTRING (13.2940364 52.4844622, 13.2937265 52.4842948)"
secondary,3,yes,50,Saatwinkler Damm,yes,,good,"LINESTRING (13.2969402 52.5480008, 13.2970834 52.5479984, 13.2973587 52.5479913, 13.2975896 52.547987)"
secondary,2,yes,50,Mehrower Straße,,L 339,excellent,"LINESTRING (13.6345188 52.5549702, 13.6344312 52.5551313, 13.6343197 52.555339, 13.6342811 52.5554109)"
secondary,1,no,50,,,,excellent,"LINESTRING (13.1565979 52.341954, 13.1566504 52.3419403, 13.1567188 52.341934, 13.1567848 52.3419376)"
secondary,1,no,50,,,,excellent,"LINESTRING (13.156475 52.3420257, 13.1565184 52.3419889, 13.1565797 52.3419588, 13.1565979 52.341954)"
secondary,2,yes,50,Koenigsallee,,,,"LINESTRING (13.2612642 52.479074, 13.2612394 52.4790492, 13.261133 52.4789322, 13.2610435 52.4788312, 13.2609586 52.4787273, 13.260628 52.4782583)"
secondary,2,yes,50,Koenigsallee,,,,"LINESTRING (13.262312 52.480632, 13.262348 52.4805233, 13.2623736 52.4804193, 13.2623804 52.4802849, 13.262361 52.4801876, 13.2623296 52.4800921, 13.2622937 52.4800095, 13.2622499 52.4799381, 13.2621957 52.479868)"
secondary,2,yes,50,Koenigsallee,,,,"LINESTRING (13.2623146 52.4817918, 13.2622859 52.4817411, 13.2622239 52.4816195, 13.2621804 52.4814887, 13.2621566 52.4813612, 13.2621499 52.4812573, 13.2621538 52.4811744, 13.2621644 52.4810984, 13.2621808 52.481028, 13.2622274 52.4808703, 13.262312 52.480632)"
secondary,2,yes,50,Koenigsallee,,,,"LINESTRING (13.2624977 52.4820443, 13.2624177 52.4819473, 13.2623146 52.4817918)"
secondary,6,yes,50,Lietzenburger Straße,,,good,"LINESTRING (13.3243724 52.4999841, 13.3234921 52.4999346, 13.3232743 52.4999223, 13.3229737 52.4999041, 13.3225827 52.4998828)"
secondary,,yes,50,Detmolder Straße,yes,,,"LINESTRING (13.3181441 52.4787643, 13.317968 52.4787429, 13.3177866 52.4787288, 13.317695 52.4787242, 13.3175863 52.4787263)"
secondary,3,yes,50,Bundesallee,yes,,,"LINESTRING (13.3292315 52.4815264, 13.3290152 52.481226, 13.3289698 52.4811606)"
secondary,3,yes,50,Spichernstraße,yes,,,"LINESTRING (13.3315046 52.4966896, 13.3313374 52.4965904, 13.3312845 52.4965592, 13.3311465 52.4964774, 13.3310916 52.4964479)"
secondary,2,yes,50,Spichernstraße,yes,,,"LINESTRING (13.3314339 52.4965296, 13.3322354 52.4970058, 13.3322553 52.4970163, 13.3327342 52.4972998, 13.3329135 52.4974054)"
secondary,3,yes,50,Spichernstraße,yes,,,"LINESTRING (13.33281 52.4974641, 13.3315046 52.4966896)"
secondary,2,yes,50,Nürnberger Straße,yes,,,"LINESTRING (13.3347113 52.4988743, 13.3343416 52.4985582)"
secondary,2,yes,50,Kurfürstendamm,yes,,,"LINESTRING (13.3346482 52.5044164, 13.3347944 52.5044224, 13.3349263 52.5044227, 13.3350673 52.5044178, 13.3352334 52.504406, 13.3353474 52.504392)"
secondary,1,yes,50,Südostallee,yes,,excellent,"LINESTRING (13.4868386 52.4595223, 13.4865262 52.4596155)"
secondary,1,yes,50,Südostallee,yes,,excellent,"LINESTRING (13.4863897 52.459575, 13.4866319 52.4595023)"
secondary,,no,50,Hüttenweg,,,,"LINESTRING (13.2547539 52.465682, 13.2550427 52.4655438, 13.2559972 52.4651051)"
secondary,2,yes,50,Hohenzollerndamm,yes,,,"LINESTRING (13.2920362 52.4832287, 13.2921782 52.4833059, 13.2922273 52.4833326)"
secondary,,yes,50,Hundekehlestraße,yes,,,"LINESTRING (13.282305 52.4766009, 13.2822264 52.4765934, 13.2821147 52.476571, 13.281976 52.4765409, 13.2818118 52.4764956, 13.2817433 52.4764656)"
secondary,,yes,50,Hundekehlestraße,yes,,,"LINESTRING (13.2824598 52.4757859, 13.282632 52.4758802, 13.2831484 52.4761614)"
secondary,2,yes,50,Hohenzollerndamm,yes,,,"LINESTRING (13.2806785 52.4767312, 13.2803868 52.4765325)"
secondary,3,yes,50,Konrad-Wolf-Straße,,,excellent,"LINESTRING (13.5000116 52.5480262, 13.4998103 52.5479217, 13.4997609 52.547896, 13.4996351 52.5478306)"
secondary,2,yes,50,Wilhelmsruher Damm,no,,good,"LINESTRING (13.3631955 52.5970547, 13.3628954 52.5970387, 13.362837 52.5970356, 13.3626825 52.5970274, 13.3626574 52.597026, 13.3624946 52.5970174, 13.3623558 52.59701, 13.3618545 52.5969833, 13.3616802 52.596974, 13.3616294 52.5969713, 13.3612027 52.5969486, 13.361167 52.5969467)"
secondary,2,yes,50,Weißenseer Straße,,L 200,,"LINESTRING (13.5838707 52.6720045, 13.5838686 52.6719698, 13.5838683 52.6719654)"
secondary,3,yes,50,Mahlower Straße,yes,K 6960,,"LINESTRING (13.2755167 52.3974476, 13.2752311 52.3975049)"
secondary,2,yes,50,Eichborndamm,yes,,good,"LINESTRING (13.3150977 52.5765709, 13.3151184 52.5766189, 13.3151263 52.5766405, 13.3151453 52.576692)"
secondary,2,yes,50,Eichborndamm,yes,,good,"LINESTRING (13.3151453 52.576692, 13.3152704 52.5770313, 13.3152946 52.5770958)"
secondary,2,yes,50,Grazer Damm,yes,,,"LINESTRING (13.3484567 52.4601416, 13.3484726 52.4600207, 13.3485139 52.4597071, 13.3485354 52.4595713)"
secondary,3,yes,30,Saarstraße,yes,,,"LINESTRING (13.3334372 52.4686213, 13.3332623 52.4687528)"
secondary,2,yes,50,Mahlsdorfer Straße,yes,,,"LINESTRING (13.5853952 52.4669115, 13.5860391 52.4674606, 13.586108 52.4675178, 13.5862247 52.4676174, 13.5863661 52.4677343)"
secondary,2,yes,50,Mahlsdorfer Straße,yes,,,"LINESTRING (13.5863661 52.4677343, 13.5868752 52.4681544, 13.5870232 52.4682749, 13.5873071 52.4685087, 13.5874214 52.4686029, 13.587882 52.4689926, 13.5883028 52.4693192, 13.5887262 52.4696289, 13.5888169 52.4696953)"
secondary,2,yes,50,Olbersstraße,,,,"LINESTRING (13.2992313 52.5295399, 13.2988931 52.5295665, 13.2986018 52.5295724, 13.2983213 52.5295606, 13.2966676 52.5293565, 13.2965976 52.5293481)"
secondary,3,no,50,Bötzower Landstraße,,L 20,,"LINESTRING (13.1267339 52.6156201, 13.1262757 52.6155069)"
secondary,2,yes,50,Veltener Straße,,L 172,,"LINESTRING (13.2048678 52.6484592, 13.2048267 52.6482643, 13.2047883 52.6480625, 13.2047769 52.6480057)"
secondary,2,yes,50,Ahrensfelder Chaussee,,L 311,excellent,"LINESTRING (13.5911085 52.566301, 13.5914962 52.5654124)"
secondary,4,yes,50,Holzhauser Straße,,,good,"LINESTRING (13.3054488 52.581994, 13.3055539 52.5820448, 13.3056341 52.5820844, 13.3056827 52.5821081, 13.3057564 52.5821439, 13.3058701 52.5821993, 13.3059204 52.5822238)"
secondary,2,,,,,L 20,,"LINESTRING (13.1292439 52.6165532, 13.1290312 52.6164458, 13.1283745 52.6161275, 13.1280992 52.6160138, 13.1278059 52.615911)"
secondary,,yes,50,Saatwinkler Damm,,,good,"LINESTRING (13.2773876 52.5485093, 13.2790208 52.5484802)"
secondary,2,yes,50,Saatwinkler Damm,,,good,"LINESTRING (13.2873054 52.5483159, 13.2925329 52.5482121)"
secondary,2,yes,50,Saatwinkler Damm,,,good,"LINESTRING (13.2925329 52.5482121, 13.2937527 52.5481879)"
secondary,3,yes,50,Knausstraße,yes,,,"LINESTRING (13.337989 52.4667728, 13.3380284 52.4667502, 13.3380501 52.4667378)"
secondary,1,yes,30,Blumberger Damm,yes,,good,"LINESTRING (13.5628054 52.5141805, 13.5628715 52.5138351)"
secondary,2,yes,50,Clayallee,yes,,,"LINESTRING (13.2697641 52.449475, 13.269577 52.4491859, 13.2693062 52.4487413, 13.2692527 52.4486555, 13.2689665 52.4481966, 13.2689352 52.4481476, 13.2687941 52.4479283, 13.2686461 52.4476783, 13.2686292 52.4476497)"
secondary,2,yes,50,Clayallee,yes,,,"LINESTRING (13.2742374 52.4586977, 13.2742079 52.4586, 13.2740952 52.4582438, 13.2738021 52.4572673, 13.2736996 52.4569415, 13.273586 52.4566196)"
