highway,lanes,lit,maxspeed,name,oneway,ref,smoothness,geometry
primary,2,yes,50,Müllerstraße,yes,,good,"LINESTRING (13.3518869 52.550586, 13.3517911 52.5506345, 13.3517299 52.5506651, 13.3516954 52.550683)"
secondary,2,yes,50,Kurt-Schumacher-Platz,yes,,good,"LINESTRING (13.3279209 52.5639596, 13.3280349 52.5640716)"
primary,2,yes,50,Müllerstraße,yes,,good,"LINESTRING (13.3375979 52.5585488, 13.339853 52.5572694, 13.3405851 52.556854, 13.3409488 52.5566477, 13.3412674 52.5564669, 13.3414317 52.556354, 13.3419841 52.5560428)"
primary,2,yes,50,Kapweg,yes,,good,"LINESTRING (13.3266732 52.5624601, 13.3267907 52.5624541, 13.3268817 52.5624486, 13.3283884 52.5623744, 13.3285744 52.5623653, 13.3286962 52.5623592, 13.3288551 52.562351, 13.329329 52.5623229, 13.3294431 52.5623164, 13.3296309 52.5623062)"
secondary,2,yes,50,Oranienburger Straße,yes,,good,"LINESTRING (13.3345853 52.5874891, 13.3346125 52.5873547)"
secondary,2,yes,30,Brümmerstraße,yes,,,"LINESTRING (13.2788417 52.4501069, 13.2789701 52.4500909, 13.2790191 52.4500843, 13.2791285 52.4500784, 13.2792459 52.4500743, 13.2794343 52.4500768, 13.2795553 52.4500844, 13.2797589 52.4501068)"
secondary,,yes,50,Löhleinstraße,yes,,,"LINESTRING (13.2858674 52.453398, 13.2857594 52.4532817)"
secondary,2,yes,30,Spanische Allee,,,,"LINESTRING (13.1944928 52.4339406, 13.1947148 52.4339649, 13.1948154 52.4339843, 13.194917 52.4340151, 13.1953273 52.4341764, 13.1961126 52.4344873, 13.196171 52.4345103, 13.1969165 52.4348047, 13.1973957 52.4350013, 13.1974721 52.4350239, 13.1975226 52.4350345, 13.1975901 52.4350433, 13.1976274 52.4350448, 13.1976767 52.4350451, 13.1977256 52.4350437, 13.1978137 52.4350336)"
secondary,2,yes,50,Kronprinzessinnenweg,,,,"LINESTRING (13.1891618 52.4336925, 13.1891087 52.4336658, 13.1890095 52.4336162, 13.1889214 52.4335709, 13.1885243 52.4333675, 13.188104 52.4331306, 13.1873882 52.4326651, 13.1869766 52.4323956, 13.1866759 52.4322006)"
primary,3,yes,50,Königstraße,yes,B 1,,"LINESTRING (13.1489009 52.4184564, 13.1480509 52.4183619, 13.1480158 52.4183577, 13.1477684 52.4183304)"
secondary,3,yes,50,Schöneberger Straße,,,,"LINESTRING (13.3778596 52.4664809, 13.3774464 52.4667227)"
secondary,2,yes,50,Breite Straße,yes,,,"LINESTRING (13.298724 52.4733495, 13.2984789 52.4733805, 13.2983266 52.4734008, 13.2981177 52.4734347, 13.2980206 52.4734505, 13.2979421 52.4734668, 13.2978895 52.4734788)"
secondary,,yes,50,Hundekehlestraße,yes,,,"LINESTRING (13.2831484 52.4761614, 13.2831888 52.4761834, 13.2832098 52.4761936, 13.2832802 52.4762275, 13.2833366 52.4762547, 13.2834016 52.4762802, 13.2835813 52.4762981, 13.2837047 52.4762819, 13.2841326 52.4762083, 13.2842982 52.4761789)"
secondary,,yes,50,Blissestraße,yes,,,"LINESTRING (13.3203587 52.4851674, 13.3202339 52.4847817, 13.320214 52.4847113, 13.320175 52.4845468, 13.3201583 52.4844623)"
secondary,2,yes,50,Neue Filandastraße,yes,,,"LINESTRING (13.3324179 52.4551075, 13.3323399 52.4548686, 13.3322223 52.4545989, 13.3319889 52.4542328, 13.3315647 52.4537031)"
secondary,2,yes,50,Filandastraße,yes,,,"LINESTRING (13.3325624 52.4567093, 13.3325592 52.4566404, 13.3325397 52.4562061, 13.3325267 52.455916, 13.3325205 52.4558464, 13.3325159 52.4558028)"
secondary,3,yes,50,Hardenbergstraße,yes,,good,"LINESTRING (13.3233913 52.5110788, 13.3233597 52.5111019, 13.3231252 52.5112598, 13.3230002 52.5113621, 13.3229323 52.5114151, 13.3227781 52.5115534, 13.3226865 52.5116355, 13.3226032 52.5117263, 13.3225186 52.5118297, 13.3225154 52.511833)"
secondary,3,yes,50,Nahmitzer Damm,yes,,excellent,"LINESTRING (13.3612874 52.4124616, 13.3614481 52.4124205)"
secondary,2,yes,50,Lessingstraße,yes,,good,"LINESTRING (13.3417531 52.5221194, 13.3415788 52.5214409, 13.3414516 52.5210519, 13.3413286 52.5207834, 13.3413135 52.5207503, 13.341278 52.5206728)"
secondary,2,yes,50,Invalidenstraße,no,,good,"LINESTRING (13.377667 52.5290269, 13.3776814 52.5290081, 13.3777209 52.5289565, 13.3777311 52.5289435)"
secondary,2,yes,30,Hessische Straße,,,excellent,"LINESTRING (13.3797838 52.529153, 13.3795192 52.5293647, 13.3794676 52.5294076, 13.3793711 52.5294887, 13.3793664 52.529493)"
secondary,3,yes,50,Chaussee­-straßenbrücke,,,good,"LINESTRING (13.3717753 52.5390602, 13.3717884 52.5390505, 13.37189 52.5389808)"
secondary,5,yes,50,Hohenzollerndamm,yes,,good,"LINESTRING (13.3011708 52.4881277, 13.3012603 52.4881672, 13.3013765 52.48821, 13.3015264 52.4882462, 13.3016723 52.488276, 13.3016956 52.4882804)"
secondary,3,yes,50,Hohenzollerndamm,yes,,,"LINESTRING (13.3142288 52.4904849, 13.3140195 52.4904187, 13.3138577 52.4903675, 13.3138178 52.4903549)"
secondary,3,yes,50,Kurfürstendamm,yes,,good,"LINESTRING (13.2897787 52.4968549, 13.2898033 52.4968607, 13.2900837 52.4969262, 13.2901579 52.4969431)"
secondary,2,yes,50,Kurfürstendamm,yes,,,"LINESTRING (13.3071494 52.5000976, 13.3068748 52.5000461)"
primary,2,yes,50,Minna-Cauer-Straße,yes,,excellent,"LINESTRING (13.3677834 52.5279543, 13.367693 52.5279027, 13.367664 52.5278735, 13.3675989 52.527774, 13.3675518 52.5276681, 13.3675268 52.5275748, 13.3674988 52.5274064, 13.3674478 52.5268242, 13.3674094 52.5263686)"
primary,2,yes,50,Minna-Cauer-Straße,yes,,excellent,"LINESTRING (13.3678308 52.5260988, 13.3678094 52.5261629, 13.3678081 52.5261777, 13.3678046 52.5262189, 13.3678103 52.5263078, 13.3678313 52.5265555)"
primary,3,yes,50,Heidestraße,no,B 96,excellent,"LINESTRING (13.3695992 52.5288694, 13.3695308 52.5289691)"
secondary,2,yes,50,Rathenauplatz,yes,,,"LINESTRING (13.2855638 52.4950194, 13.2854765 52.4949268, 13.2853891 52.4948341, 13.2853051 52.4947429)"
secondary,2,yes,50,Halenseestraße,yes,,,"LINESTRING (13.2804118 52.4994025, 13.2808833 52.4987893, 13.2809791 52.4986586, 13.2812736 52.4982919, 13.2816055 52.4979697)"
secondary,3,yes,50,Konstanzer Straße,yes,,,"LINESTRING (13.308474 52.4876176, 13.3084549 52.4877178, 13.3084408 52.4877918, 13.3084369 52.4878123)"
secondary,3,yes,50,Konstanzer Straße,yes,,,"LINESTRING (13.30801 52.4883526, 13.3080512 52.488282, 13.3080992 52.4881928, 13.3081566 52.4880638, 13.3081946 52.4879308, 13.308212 52.487846)"
secondary,3,yes,50,Bundesallee,yes,,,"LINESTRING (13.3304968 52.4954023, 13.3305478 52.4951874, 13.3305706 52.4950964)"
secondary,3,yes,50,Bundesallee,yes,,,"LINESTRING (13.3310688 52.4892912, 13.3310243 52.4900661)"
secondary,1,yes,50,Brandenburgische Straße,yes,,,"LINESTRING (13.3178553 52.4881193, 13.3164149 52.4889418, 13.3163624 52.48897, 13.3163074 52.4889984, 13.3162737 52.4890159)"
